Error_Rate (%),Task_Start_Time,Task_End_Time,CPU_Utilization (%),Memory_Consumption (MB),Task_Execution_Time (ms),System_Throughput (tasks/sec),Task_Waiting_Time (ms),Data_Source,Number_of_Active_Users,Network_Bandwidth_Utilization (Mbps),Job_Priority,Scheduler_Type,Resource_Allocation_Type
1.65,01-01-2024 00:00,01-01-2024 00:00,39.96,3622,2734,9.03,83,IoT,3000,112.97,Low,FCFS,Static
2.92,01-01-2024 00:01,01-01-2024 00:01,86.06,5690,2868,8.03,64,Social Media,4590,329.2,Low,Priority-Based,Dynamic
2.6,01-01-2024 00:02,01-01-2024 00:02,68.56,5075,1311,5.69,971,Cloud,3780,542.82,Low,Priority-Based,Static
1.33,01-01-2024 00:03,01-01-2024 00:03,57.89,7686,875,4.51,757,Social Media,4474,973.94,Medium,Priority-Based,Dynamic
1.99,01-01-2024 00:04,01-01-2024 00:04,22.48,2297,1260,6.38,581,Enterprise DB,1981,405.38,Low,FCFS,Static
2.72,01-01-2024 00:05,01-01-2024 00:05,22.48,2631,2483,4.72,33,Cloud,3471,227.84,Low,ASB-Dynamic-CapsNet,Static
2.9,01-01-2024 00:06,01-01-2024 00:06,14.65,7822,2754,2.84,997,Social Media,2040,175.13,High,FCFS,Static
2.66,01-01-2024 00:07,01-01-2024 00:07,79.29,7208,3640,6.95,31,Social Media,4915,181.31,Low,Priority-Based,Dynamic
4.23,01-01-2024 00:08,01-01-2024 00:08,58.09,7262,4797,8.8,437,Cloud,3906,200.67,Low,Priority-Based,Static
0.16,01-01-2024 00:09,01-01-2024 00:09,66.65,7000,4735,4.04,41,Cloud,1532,764.64,Medium,Priority-Based,Dynamic
1.66,01-01-2024 00:10,01-01-2024 00:10,11.65,1315,1195,8.49,872,Enterprise DB,2595,70.42,Low,Priority-Based,Dynamic
3.75,01-01-2024 00:11,01-01-2024 00:11,87.59,3194,123,4.6,348,IoT,4270,997.43,Medium,Round Robin,Static
3.26,01-01-2024 00:12,01-01-2024 00:12,76.6,942,4819,4.31,956,IoT,4349,527.46,High,Priority-Based,Static
4.59,01-01-2024 00:13,01-01-2024 00:13,26.99,3640,3656,0.77,990,Cloud,2865,548.83,High,FCFS,Static
2.94,01-01-2024 00:14,01-01-2024 00:14,24.55,7166,1179,7.11,524,IoT,692,363.99,Medium,Round Robin,Static
3.19,01-01-2024 00:15,01-01-2024 00:15,24.67,642,4418,8.17,521,Enterprise DB,4735,693.35,Low,ASB-Dynamic-CapsNet,Dynamic
3.52,01-01-2024 00:16,01-01-2024 00:16,34.34,4787,278,6.8,79,IoT,3968,476.74,Medium,FCFS,Dynamic
0.93,01-01-2024 00:17,01-01-2024 00:17,51.98,1910,2947,1.94,681,Cloud,1636,335.77,Low,FCFS,Dynamic
3.77,01-01-2024 00:18,01-01-2024 00:18,44.56,4973,2060,1.48,907,Enterprise DB,2459,272.49,Low,ASB-Dynamic-CapsNet,Static
1.5,01-01-2024 00:19,01-01-2024 00:19,33.3,7224,1573,5.94,97,Cloud,3899,926.39,Low,FCFS,Static
2.12,01-01-2024 00:20,01-01-2024 00:20,58.95,1034,4988,4.31,886,Enterprise DB,104,298.08,Medium,Round Robin,Static
0.07,01-01-2024 00:21,01-01-2024 00:21,21.16,2216,1312,4.58,580,Enterprise DB,891,442.03,High,ASB-Dynamic-CapsNet,Static
4.22,01-01-2024 00:22,01-01-2024 00:22,33.37,3864,909,9.69,773,Cloud,4637,356.84,Medium,Round Robin,Dynamic
4.77,01-01-2024 00:23,01-01-2024 00:23,39.31,1532,519,7.38,228,Social Media,1034,95.32,Low,Priority-Based,Dynamic
0.3,01-01-2024 00:24,01-01-2024 00:24,46.49,3842,3759,4.41,722,Cloud,2670,194.08,Medium,ASB-Dynamic-CapsNet,Dynamic
3.18,01-01-2024 00:25,01-01-2024 00:25,72.81,1910,3916,0.68,598,Enterprise DB,2956,197.61,High,Round Robin,Static
4.8,01-01-2024 00:26,01-01-2024 00:26,25.97,6736,1378,0.82,776,Cloud,2044,696.71,Medium,Priority-Based,Static
